# Zeit t        Temperatur t    Strom I finale korrigierte Werte
0       -59.2       0.00
1       -56.0       0.00
2       -54.0       0.00
3       -52.7       0.03
4       -51.7       0.05
5       -50.7       0.06
6       -48.8       0.15
7       -46.3       0.32
8       -43.1       0.55
9       -41.1       0.80
10      -38.6       1.20
11      -36.6       1.60
12      -34.6       1.73
13      -32.6       2.05
14      -30.6       2.37
15      -28.6       2.66
16      -26.7       2.90
17      -24.9       2.80
18      -22.8       2.90
19      -21.0       3.00
20      -19.0       3.10
21      -16.9       3.10
22      -14.7       3.15
23      -12.7       3.15
24      -10.6       3.00
25      -8.6        2.80
26      -6.9        2.15
27      -5.1        1.10
28      -3.4        0.60
29      -1.4        0.45
30      0.4         0.40
31      2.4         0.38
32      4.4         0.40
33      6.3         0.44
34      8.2         0.47
35      10.2        0.53
36      12.2        0.60
37      14.2        0.69
38      16.2        0.80
39      18.2        0.94
40      20.2        1.10
41      22.2        1.25
42      24.3        1.55
43      26.2        1.85
44      28.2        2.15
45      30.0        2.50
46      31.8        2.85
47      33.8        3.30
48      35.8        3.70
49      37.8        4.00
50      39.8        4.20
51      41.9        4.50
52      43.9        4.40
53      45.9        4.10
54      47.9        3.55
55      49.8        2.95
56      51.3        2.30
57      53.2        1.75
58      55.0        1.40
59      56.7        1.10
