# r    I microwatt
-10     0.06
-9      -0.01
-8      -0.05
-7      -0.08
-6      -0.15
-5      -0.17
-4      -0.21
-3      -0.21
-2      -0.17
-1      -0.14
0       -0.12
1       -0.13
2       -0.17
3       -0.19
4       -0.20
5       -0.22
6       -0.22
7       -0.18
8       -0.12
9       -0.05
10      0.02
