83	41.42	39.40	37.51	38.87	42.27	40.09	38.47	32.13
84	41.24	39.24	37.35	38.68	41.95	39.85	38.21	32.13
85	41.05	39.09	37.21	38.50	41.64	39.63	37.95	32.14
86	40.87	38.93	37.07	38.31	41.35	39.41	37.71	32.15
87	40.69	38.79	36.94	38.13	41.06	39.20	37.48	32.14
88	40.52	38.65	36.82	37.95	40.79	39.00	37.27	32.13
89	40.35	38.52	36.71	37.78	40.51	38.81	37.07	32.12
90	40.19	38.41	36.61	37.61	40.25	38.62	36.88	32.12
91	40.03	38.30	36.51	37.45	40.00	38.44	36.71	32.10
92	39.87	38.19	36.42	37.30	39.76	38.28	36.54	32.09
93	39.72	38.09	36.33	37.15	39.53	38.12	36.38	32.08
94	39.57	37.99	36.25	37.01	39.31	37.97	36.22	32.06
95	39.43	37.90	36.17	36.87	39.09	37.82	36.08	32.04
96	39.29	37.81	36.10	36.74	38.89	37.68	35.94	32.02
97	39.15	37.73	36.03	36.59	38.69	37.55	35.80	31.99
98	39.02	37.64	35.96	36.46	38.50	37.42	35.68	31.96
99	38.89	37.56	35.90	36.33	38.32	37.30	35.56	31.93
100	38.75	37.48	35.84	36.21	38.13	37.17	35.45	31.91
101	38.61	37.40	35.79	36.09	37.96	37.05	35.34	31.88
102	38.47	37.35	35.76	35.94	37.77	37.08	35.21	31.84
103	38.32	37.72	36.29	35.80	37.61	38.02	35.12	31.80
104	38.20	38.52	37.34	35.70	37.61	39.52	35.13	31.76
105	38.12	39.57	38.65	35.64	37.81	41.14	35.32	31.73
106	38.11	40.76	40.07	35.67	38.19	42.75	35.65	31.69
107	38.18	41.96	41.48	35.77	38.69	44.28	36.12	31.66
108	38.32	43.16	42.87	35.94	39.27	45.68	36.70	31.63
109	38.52	44.30	44.19	36.18	39.91	46.98	37.36	31.60
110	38.78	45.39	45.45	36.48	40.58	48.18	38.07	31.59
111	39.08	46.42	46.63	36.82	41.29	49.29	38.81	31.56
112	39.42	47.38	47.73	37.19	42.00	50.32	39.59	31.55
113	39.78	48.29	48.77	37.59	42.71	51.28	40.37	31.53
114	40.16	49.14	49.73	38.01	43.43	52.17	41.15	31.52
115	40.56	49.93	50.62	38.44	44.15	53.00	41.93	31.52
116	40.98	50.68	51.46	38.89	44.86	53.79	42.68	31.51
117	41.39	51.37	52.23	39.33	45.56	54.54	43.44	31.52
118	41.81	52.03	52.96	39.78	46.24	55.23	44.17	31.52
119	42.23	52.64	53.63	40.23	46.93	55.89	44.88	31.54
120	42.65	53.21	54.26	40.67	47.58	56.53	45.57	31.55
121	43.08	53.76	54.85	41.11	48.24	57.13	46.24	31.58
122	43.50	54.27	55.40	41.56	48.87	57.70	46.88	31.61
123	43.90	54.76	55.91	41.99	49.49	58.26	47.50	31.63
124	44.32	55.22	56.40	42.41	50.10	58.78	48.10	31.68
125	44.72	55.65	56.87	42.83	50.69	59.29	48.67	31.73
126	45.12	56.07	57.29	43.25	51.27	59.77	49.23	31.78
127	45.52	56.47	57.70	43.66	51.83	60.24	49.75	31.84
128	45.91	56.85	58.08	44.06	52.38	60.69	50.26	31.89
129	46.29	57.21	58.45	44.45	52.91	61.13	50.74	31.97
130	46.67	57.55	58.80	44.83	53.43	61.54	51.21	32.04
131	47.05	57.89	59.12	45.21	53.94	61.95	51.66	32.12
132	47.41	58.20	59.43	45.57	54.43	62.33	52.09	32.19
133	47.77	58.51	59.73	45.93	54.91	62.71	52.50	32.29
134	48.13	58.81	60.01	46.29	55.37	63.07	52.89	32.38
135	48.48	59.09	60.28	46.63	55.83	63.42	53.26	32.48
136	48.83	59.36	60.53	46.97	56.26	63.76	53.62	32.57
137	49.16	59.63	60.79	47.30	56.70	64.09	53.97	32.68
138	49.49	59.88	61.02	47.63	57.11	64.41	54.30	32.78
